t 	T_s 	t_s	T_raw	t_nth_d	 cooling_rate	
0.00	150.4	0.00	150.5	0.00	-0.049	
0.00	150.4	0.00	150.4	0.00	-0.049	
1.00	150.4	1.00	150.4	1.00	-0.047	
2.00	150.4	2.00	150.3	2.00	-0.045	
3.00	150.3	3.00	150.3	3.00	-0.044	
4.00	150.3	4.00	150.3	4.00	-0.042	
5.00	150.2	5.00	150.2	5.00	-0.041	
6.00	150.2	6.00	150.2	6.00	-0.040	
7.00	150.1	7.00	150.1	7.00	-0.039	
8.00	150.1	8.00	150.1	8.00	-0.038	
9.00	150.1	9.00	150.1	9.00	-0.038	
10.00	150.0	10.00	150.0	10.00	-0.038	
11.00	150.0	11.00	150.0	11.00	-0.039	
12.00	150.0	12.00	150.0	12.00	-0.038	
13.00	149.9	13.00	149.9	13.00	-0.037	
14.00	149.9	14.00	149.9	14.00	-0.038	
15.00	149.8	15.00	149.9	15.00	-0.037	
16.00	149.8	16.00	149.8	16.00	-0.037	
17.00	149.8	17.00	149.8	17.00	-0.037	
18.00	149.7	18.00	149.7	18.00	-0.036	
19.00	149.7	19.00	149.7	19.00	-0.036	
20.00	149.7	20.00	149.7	20.00	-0.037	
21.00	149.6	21.00	149.6	21.00	-0.036	
22.00	149.6	22.00	149.6	22.00	-0.036	
23.00	149.5	23.00	149.5	23.00	-0.037	
24.00	149.5	24.00	149.5	24.00	-0.036	
25.00	149.5	25.00	149.5	25.00	-0.036	
26.00	149.4	26.00	149.4	26.00	-0.036	
27.00	149.4	27.00	149.4	27.00	-0.035	
28.00	149.4	28.00	149.4	28.00	-0.035	
29.00	149.3	29.00	149.3	29.00	-0.036	
30.00	149.3	30.00	149.3	30.00	-0.035	
31.00	149.3	31.00	149.3	31.00	-0.034	
32.00	149.2	32.00	149.2	32.00	-0.035	
33.00	149.2	33.00	149.2	33.00	-0.034	
34.00	149.2	34.00	149.2	34.00	-0.034	
35.00	149.1	35.00	149.1	35.00	-0.035	
36.00	149.1	36.00	149.1	36.00	-0.034	
37.00	149.1	37.00	149.0	37.00	-0.034	
38.00	149.0	38.00	149.0	38.00	-0.035	
39.00	149.0	39.00	149.0	39.00	-0.034	
40.00	149.0	40.00	148.9	40.00	-0.034	
41.00	148.9	41.00	148.9	41.00	-0.034	
42.00	148.9	42.00	148.9	42.00	-0.033	
43.00	148.9	43.00	148.8	43.00	-0.033	
