T	mohm	
150.804	6.229m	
151.650	6.247m	
152.023	6.045m	
152.039	6.233m	
152.359	7.464m	
152.110	6.377m	
151.546	6.356m	
151.242	6.334m	
150.977	6.412m	
150.726	6.502m	
150.492	6.292m	
150.269	6.176m	
150.051	6.359m	
149.841	6.212m	
149.641	5.972m	
149.444	6.292m	
149.253	6.208m	
149.070	6.230m	
148.891	6.174m	
148.717	6.394m	
148.547	5.909m	
148.381	5.877m	
148.221	6.294m	
148.061	6.107m	
147.906	6.177m	
147.750	5.983m	
147.600	6.032m	
147.448	5.947m	
147.297	5.946m	
147.149	6.094m	
147.002	6.181m	
146.850	6.044m	
146.698	6.160m	
146.550	6.195m	
146.400	6.394m	
146.246	6.119m	
146.091	6.093m	
145.936	6.169m	
145.775	6.053m	
145.623	6.061m	
145.458	6.007m	
145.300	5.944m	
145.133	6.038m	
144.970	5.907m	
144.805	5.766m	
144.634	6.053m	
144.464	5.851m	
144.292	6.064m	
144.117	5.844m	
143.942	5.704m	
143.764	5.777m	
143.587	5.840m	
143.404	5.903m	
143.223	5.742m	
143.040	5.953m	
142.858	5.909m	
142.673	5.841m	
142.484	5.910m	
142.298	5.788m	
142.105	5.745m	
141.914	5.946m	
141.723	5.908m	
141.529	5.612m	
141.337	5.748m	
141.142	5.845m	
140.945	5.834m	
140.747	5.736m	
140.548	5.929m	
140.349	5.685m	
140.143	5.858m	
139.934	5.727m	
139.719	5.802m	
139.504	5.903m	
139.283	5.897m	
139.065	5.919m	
138.842	6.058m	
138.625	5.591m	
138.424	5.727m	
138.225	5.720m	
138.025	5.702m	
137.819	5.648m	
137.589	5.808m	
137.349	5.853m	
137.105	5.748m	
136.868	5.676m	
136.641	5.751m	
136.413	5.805m	
136.185	5.499m	
135.956	5.683m	
135.727	5.404m	
135.500	5.605m	
135.277	5.584m	
135.059	5.556m	
134.837	5.617m	
134.622	5.779m	
134.402	5.625m	
134.186	5.711m	
133.972	5.578m	
133.761	5.246m	
133.549	5.347m	
133.339	5.434m	
133.117	5.325m	
132.896	5.395m	
132.674	5.498m	
132.457	5.766m	
132.238	5.584m	
132.025	5.473m	
131.812	5.554m	
131.599	4.958m	
131.389	5.362m	
131.185	4.894m	
130.977	5.258m	
130.769	5.270m	
130.563	5.338m	
130.357	5.481m	
130.151	5.296m	
129.948	5.208m	
129.744	5.375m	
129.538	5.332m	
129.333	5.730m	
129.127	5.249m	
128.923	5.321m	
128.716	5.355m	
128.508	5.475m	
128.298	5.360m	
128.090	5.256m	
127.883	5.256m	
127.673	5.391m	
127.466	5.271m	
127.253	5.453m	
127.042	5.199m	
126.833	5.411m	
126.621	5.372m	
126.410	5.089m	
126.198	4.990m	
125.989	5.193m	
125.777	5.158m	
125.563	5.126m	
125.350	5.141m	
125.138	4.815m	
124.928	5.230m	
124.712	5.165m	
124.501	4.987m	
124.288	5.019m	
124.075	4.938m	
